cluster	ref	rank	genes	scores	logfoldchanges	pvals	pvals_adj
1	rest	0	ENSG00000166803	13.583004	4.454443	5.05112395442111e-42	9.89767738868817e-38
1	rest	1	ENSG00000164104	12.218984	4.260587	2.4614294396503e-34	2.41158549349738e-30
1	rest	2	ENSG00000198830	11.601161	1.854294	4.06525053772345e-31	2.6552861428897e-27
1	rest	3	ENSG00000111247	11.328889	4.766867	9.43944079924423e-30	4.62414606152977e-26
1	rest	4	ENSG00000124795	11.218251	2.681475	3.31767682681287e-29	1.30019754842796e-25
1	rest	5	ENSG00000164032	10.707297	1.3227799	9.40680107216022e-27	3.07210445014966e-23
1	rest	6	ENSG00000160298	10.648652	4.3778324	1.76907452519137e-26	4.95214504587498e-23
1	rest	7	ENSG00000197061	10.522826	3.241081	6.78084326131397e-26	1.66088279631809e-22
1	rest	8	ENSG00000158164	10.484691	3.002057	1.01577666996994e-25	2.21157153867345e-22
1	rest	9	ENSG00000228716	10.455202	3.6092248	1.38703229504569e-25	2.71788978214202e-22
1	rest	10	ENSG00000139618	10.437797	4.600592	1.66633192217942e-25	2.96834309228234e-22
1	rest	11	ENSG00000113810	10.345007	3.931966	4.40884141431645e-25	7.19927062612757e-22
1	rest	12	ENSG00000131747	10.201332	4.4825535	1.95570674963507e-24	2.94785182762301e-21
1	rest	13	ENSG00000119969	10.179604	3.582182	2.44554685487683e-24	3.42289218723653e-21
1	rest	14	ENSG00000117724	10.124285	4.32264	4.31118802208401e-24	5.63184861951574e-21
1	rest	15	ENSG00000173207	9.862101	3.0296285	6.07643498025753e-23	7.00398490812626e-20
1	rest	16	ENSG00000167513	9.674416	3.6138594	3.87299687660202e-22	4.21618743316758e-19
1	rest	17	ENSG00000066279	9.546371	4.1804366	1.3431787338024e-21	1.37938169333452e-18
1	rest	18	ENSG00000129534	9.471652	3.3815763	2.75451539139273e-21	2.5702251949686e-18
1	rest	19	ENSG00000166582	9.4017	1.9475251	5.3688667012612e-21	4.66454878100774e-18
1	rest	20	ENSG00000285437	9.396046	2.3072908	5.66521796546778e-21	4.66454878100774e-18
1	rest	21	ENSG00000151725	9.377199	3.6633337	6.77481489113388e-21	5.31009991167073e-18
1	rest	22	ENSG00000012048	9.112133	3.4401965	8.07775732531667e-20	6.08783287652232e-17
1	rest	23	ENSG00000184990	8.920013	2.131058	4.66232623520687e-19	3.38364009551402e-16
1	rest	24	ENSG00000177917	8.880548	2.5535178	6.65323377853223e-19	4.34567052967797e-16
1	rest	25	ENSG00000089685	8.81392	2.984663	1.20844054450878e-18	7.39981014676545e-16
1	rest	26	ENSG00000162607	8.807823	3.169035	1.27599780755509e-18	7.57672031486121e-16
1	rest	27	ENSG00000167371	8.7801075	2.9940255	1.63317833313704e-18	9.41239101112362e-16
1	rest	28	ENSG00000130520	8.745187	1.4694637	2.22646469299922e-18	1.24650216169485e-15
1	rest	29	ENSG00000109881	8.606279	2.6604695	7.54700832155712e-18	4.10787855724755e-15
1	rest	30	ENSG00000153044	8.579119	3.124003	9.56026474338639e-18	5.06306453099071e-15
1	rest	31	ENSG00000105968	8.563045	2.184083	1.09925798198149e-17	5.66841056761247e-15
1	rest	32	ENSG00000181449	8.551625	3.280597	1.21366916707401e-17	6.09790957149107e-15
1	rest	33	ENSG00000176208	8.476352	3.504041	2.3236562990974e-17	1.13830112952034e-14
1	rest	34	ENSG00000148773	8.430455	4.0693374	3.443218075296e-17	1.64560629720549e-14
1	rest	35	ENSG00000122483	8.33179	3.383203	7.9628891391139e-17	3.71506696859373e-14
1	rest	36	ENSG00000188529	8.312833	2.2716153	9.34437695248696e-17	4.25821084613912e-14
1	rest	37	ENSG00000167747	8.2898855	2.451713	1.13357772063555e-16	5.04828532633035e-14
1	rest	38	ENSG00000203760	8.271372	3.093642	1.32426549005679e-16	5.76644050614731e-14
1	rest	39	ENSG00000156802	8.229799	3.4369864	1.87527589958683e-16	7.98826766356608e-14
1	rest	40	ENSG00000167523	8.226695	2.6690388	1.92449533001464e-16	8.02350765779506e-14
1	rest	41	ENSG00000142538	8.144216	3.4187953	3.81749495251e-16	1.49607627188867e-13
1	rest	42	ENSG00000075218	8.096989	3.6424057	5.63361904415276e-16	2.1645248072583e-13
1	rest	43	ENSG00000196584	8.065172	3.6672354	7.31327473058894e-16	2.75583881434404e-13
1	rest	44	ENSG00000134291	8.061403	2.1021473	7.54237921275414e-16	2.78854567309278e-13
1	rest	45	ENSG00000175455	8.031027	2.4815838	9.66598605465166e-16	3.50749993964628e-13
1	rest	46	ENSG00000120802	7.9947762	2.5618732	1.29809580045896e-15	4.62476131090789e-13
1	rest	47	ENSG00000161547	7.980253	1.7842716	1.46033157725468e-15	5.10985665291169e-13
1	rest	48	ENSG00000089280	7.9476604	1.6084661	1.90066534555778e-15	6.42129955969045e-13
1	rest	49	ENSG00000188486	7.936242	2.9383748	2.08399178312676e-15	6.92132525260489e-13
1	rest	50	ENSG00000123219	7.928149	3.0915594	2.22435901897378e-15	7.2643858294652e-13
1	rest	51	ENSG00000138061	7.8701696	2.770208	3.54161118071596e-15	1.11932050138918e-12
1	rest	52	ENSG00000128951	7.820837	1.777505	5.2473333701658e-15	1.60658589669373e-12
1	rest	53	ENSG00000175063	7.807201	3.3805106	5.84719629755244e-15	1.76270479154677e-12
1	rest	54	ENSG00000131153	7.786914	2.9604585	6.86658366674226e-15	2.03864707499719e-12
1	rest	56	ENSG00000123975	7.6883593	2.3229256	1.4903393904457e-14	4.23010744849045e-12
1	rest	57	ENSG00000146263	7.6865854	2.7596133	1.51113815460236e-14	4.23010744849045e-12
1	rest	58	ENSG00000139219	7.678936	2.6049356	1.60415252397381e-14	4.42723502919251e-12
1	rest	59	ENSG00000099901	7.6153026	1.6097275	2.63074685267528e-14	7.15965063585723e-12
1	rest	61	ENSG00000171848	7.5579877	3.5420759	4.09352203298512e-14	1.06445927096301e-11
1	rest	62	ENSG00000181544	7.556879	3.2041032	4.12854833341102e-14	1.06445927096301e-11
1	rest	63	ENSG00000129810	7.5379224	3.4034858	4.77518509429955e-14	1.21519158341298e-11
1	rest	64	ENSG00000115392	7.424069	2.4716518	1.13575897243629e-13	2.81711355251761e-11
1	rest	65	ENSG00000179029	7.383716	2.43937	1.5393157621956e-13	3.77036154502784e-11
1	rest	66	ENSG00000122952	7.356666	3.1369288	1.88560068207276e-13	4.56152411916244e-11
1	rest	67	ENSG00000168461	7.3541164	2.2742097	1.92194163040182e-13	4.59273734728337e-11
1	rest	69	ENSG00000163918	7.33139	2.953437	2.27777509923658e-13	5.25094153759304e-11
1	rest	70	ENSG00000175643	7.33139	3.0584402	2.27777509923658e-13	5.25094153759304e-11
1	rest	71	ENSG00000180385	7.290483	3.1308727	3.08846201124799e-13	6.99056825327381e-11
1	rest	72	ENSG00000069275	7.285605	1.6314225	3.202300040363e-13	7.13057605578558e-11
1	rest	73	ENSG00000094916	7.218424	1.6459099	5.2593574775888e-13	1.13712017300415e-10
1	rest	74	ENSG00000124575	7.2178698	3.312276	5.28083366896545e-13	1.13712017300415e-10
1	rest	75	ENSG00000168014	7.101023	1.7003628	1.23836618062485e-12	2.52768596972333e-10
1	rest	76	ENSG00000138182	7.094704	3.0158892	1.29628494189134e-12	2.61862922024338e-10
1	rest	77	ENSG00000077152	7.041824	2.77573	1.89739470911513e-12	3.79382135970521e-10
1	rest	78	ENSG00000133812	7.033842	1.9159393	2.00922589911528e-12	3.9370781493164e-10
1	rest	79	ENSG00000129195	7.0300727	3.133207	2.06425811899508e-12	4.00486513284244e-10
1	rest	80	ENSG00000146247	7.024308	2.179301	2.15129658491736e-12	4.13280946877017e-10
1	rest	81	ENSG00000144354	6.945265	3.2365186	3.777507283993e-12	7.08840537683232e-10
1	rest	82	ENSG00000225890	6.944489	1.6125921	3.79832898477874e-12	7.08840537683232e-10
1	rest	83	ENSG00000172613	6.9188805	2.295635	4.55227402080616e-12	8.41526504129215e-10
1	rest	85	ENSG00000236418	6.905466	1.611254	5.00388175014565e-12	9.07880211982444e-10
1	rest	87	ENSG00000288475	6.8673306	2.626836	6.54144531015326e-12	1.16526928047685e-09
1	rest	88	ENSG00000135245	6.8244276	2.096518	8.82765856048048e-12	1.55836008551905e-09
1	rest	89	ENSG00000167900	6.8211017	3.1230953	9.03448945504156e-12	1.58063232921017e-09
1	rest	90	ENSG00000100749	6.819217	2.0514703	9.15379341995908e-12	1.58733258463804e-09
