cluster	ref	rank	genes	scores	logfoldchanges	pvals	pvals_adj
16	rest	82	ENSG00000138035	5.2713532	1.7842041	1.3542140832926e-07	1.67948259253914e-05
16	rest	83	ENSG00000276371	5.245698	2.1097605	1.5569182464312e-07	1.90673831492621e-05
16	rest	85	ENSG00000134986	5.2342954	1.5750388	1.65615350378257e-07	1.9909403623693e-05
16	rest	86	ENSG00000105290	5.175953	2.8812606	2.2675063759831e-07	2.64474925222553e-05
16	rest	87	ENSG00000179431	5.167591	3.7818153	2.37130366606461e-07	2.73327619626682e-05
16	rest	88	ENSG00000162654	5.1607494	2.1249485	2.4596292007454e-07	2.8185049233103e-05
16	rest	89	ENSG00000128609	5.1463065	1.5855219	2.65665165245648e-07	3.02657494941191e-05
16	rest	90	ENSG00000105323	5.1432657	1.8076532	2.70003059183495e-07	3.05821384086739e-05
16	rest	91	ENSG00000198513	5.1402254	1.7796565	2.74409326164609e-07	3.09025904953765e-05
16	rest	92	ENSG00000123636	5.139085	1.9546787	2.76079514741455e-07	3.09130176649075e-05
16	rest	93	ENSG00000162873	5.1330037	4.705899	2.85154323715499e-07	3.17477214386659e-05
16	rest	94	ENSG00000099284	5.1149497	1.8253602	3.13824403416531e-07	3.45471302525108e-05
16	rest	95	ENSG00000171316	5.095946	2.2834408	3.47004558929264e-07	3.77753018456607e-05
16	rest	96	ENSG00000131051	5.086444	1.5670733	3.64840009588578e-07	3.94974584966198e-05
16	rest	97	ENSG00000139910	5.0809326	2.1238928	3.75586594941164e-07	4.04374688344621e-05
16	rest	98	ENSG00000139767	5.072951	6.63337	3.91693857613726e-07	4.17132670648965e-05
16	rest	99	ENSG00000114062	5.06725	2.3662355	4.03605021147715e-07	4.25195719859649e-05
17	rest	0	ENSG00000144649	6.260706	2.0119958	3.83238055307677e-10	2.88828834375151e-07
17	rest	1	ENSG00000168014	5.9313655	2.0740378	3.00425889893759e-09	1.07033551135786e-06
17	rest	2	ENSG00000281287	5.7103477	3.764852	1.12745511436045e-08	2.76156037073663e-06
17	rest	3	ENSG00000220842	5.4231963	3.2648728	5.85427127590365e-08	9.63986938246487e-06
17	rest	4	ENSG00000109046	5.331406	1.3198053	9.7455078619953e-08	1.40414137173381e-05
17	rest	6	ENSG00000173212	4.7926407	1.5111765	1.64600421512775e-06	0.000102067887960216
17	rest	7	ENSG00000271503	4.7331576	1.0678766	2.21053595731118e-06	0.000126653368665242
17	rest	8	ENSG00000274233	4.7331576	1.0678766	2.21053595731118e-06	0.000126653368665242
17	rest	11	ENSG00000121749	4.2021837	2.2302825	2.64352657130741e-05	0.000840907518908584
17	rest	14	ENSG00000255508	4.059083	3.9217145	4.92658495212946e-05	0.00131521024709778
17	rest	17	ENSG00000169045	3.7455153	1.7052704	0.000180023838768325	0.00346860090527564
17	rest	22	ENSG00000137501	3.231835	1.6695756	0.00122998099152286	0.0146246829665597
17	rest	24	ENSG00000173559	3.0818927	1.2798119	0.00205688994613058	0.0213139918003325
17	rest	25	ENSG00000277359	3.0805624	2.2449653	0.00206610074909479	0.0213642449490831
17	rest	26	ENSG00000136213	3.0497758	1.4081879	0.00229012289439676	0.0230246065242199
17	rest	27	ENSG00000260836	3.0049262	2.5110414	0.00265645374122396	0.0256926017074449
17	rest	28	ENSG00000288681	2.966918	1.7522471	0.00300801231772011	0.0281346068571483
17	rest	33	ENSG00000121310	2.7061818	1.196382	0.00680617587107099	0.0513938405370466
17	rest	37	ENSG00000254732	2.6472692	2.6628094	0.0081144726931426	0.058371179303278
17	rest	40	ENSG00000277957	2.6164825	2.2325792	0.00888408951866348	0.0619515068036338
17	rest	47	ENSG00000164327	2.3040555	1.1357282	0.0212195332806412	0.116757174101483
17	rest	60	ENSG00000244398	2.1242766	1.9959493	0.0336470082063698	0.161874079500078
17	rest	66	ENSG00000227739	1.9163721	2.2800899	0.0553177554829281	0.22955345588479
