cluster	ref	rank	genes	scores	logfoldchanges	pvals	pvals_adj
1	rest	0	ENSG00000145423	14.232517	3.690481	5.75715048099174e-46	1.12811363675033e-41
1	rest	1	ENSG00000067225	11.659369	1.5648828	2.05558954394031e-31	1.53899082341423e-27
1	rest	2	ENSG00000185885	11.647742	3.277978	2.35619927034585e-31	1.53899082341423e-27
1	rest	3	ENSG00000104327	11.441879	5.7588615	2.58230153677839e-30	1.26500496532931e-26
1	rest	4	ENSG00000049449	10.753734	2.6979089	5.69104119948661e-27	2.18818547733527e-23
1	rest	5	ENSG00000117450	10.73867	1.701195	6.700236215367e-27	2.18818547733527e-23
1	rest	6	ENSG00000074800	10.72255	1.3994958	7.97729345915505e-27	2.23307236188776e-23
1	rest	7	ENSG00000197406	10.661241	5.025294	1.54522037219051e-26	3.78482414913412e-23
1	rest	8	ENSG00000185559	10.549325	4.7141004	5.11635703880907e-26	1.11394462417182e-22
1	rest	9	ENSG00000184302	10.387991	3.5933483	2.8121450836923e-25	5.51039829149507e-22
1	rest	10	ENSG00000142538	10.352579	4.37968	4.07360729385489e-25	7.25657590209877e-22
1	rest	11	ENSG00000102144	10.281228	2.1445677	8.56297435911075e-25	1.39826235472313e-21
1	rest	12	ENSG00000138385	10.138789	2.9366636	3.7167861703039e-24	5.60234038516192e-21
1	rest	13	ENSG00000105223	10.12148	2.5892208	4.43657355424897e-24	6.20027931810701e-21
1	rest	14	ENSG00000167815	10.114873	1.3410462	4.7463225196022e-24	6.20027931810701e-21
1	rest	15	ENSG00000080824	10.0032215	1.525066	1.47519120432864e-23	1.80664822805123e-20
1	rest	16	ENSG00000102265	9.840962	2.2031167	7.49900377583697e-23	8.64370464632502e-20
1	rest	17	ENSG00000143870	9.805155	2.7383096	1.069831934075e-22	1.16463093045554e-19
1	rest	18	ENSG00000166794	9.630608	2.5123782	5.93774054319353e-22	6.12368557599354e-19
1	rest	19	ENSG00000041357	9.575244	2.5890257	1.0161711241692e-21	9.95593658904771e-19
1	rest	20	ENSG00000117592	9.566919	1.5115868	1.10138278779812e-21	1.02769503461449e-18
1	rest	21	ENSG00000123131	9.559256	2.3931527	1.18606332370174e-21	1.05640503763344e-18
1	rest	22	ENSG00000074695	9.534415	2.8811524	1.5073294889611e-21	1.28417918853012e-18
1	rest	24	ENSG00000126457	9.323664	2.972386	1.12390830728248e-20	8.80919331248007e-18
1	rest	25	ENSG00000046653	9.272132	3.506515	1.82461545833637e-20	1.37512845792697e-17
1	rest	26	ENSG00000149925	9.264072	1.0494102	1.96781030793057e-20	1.4281201105148e-17
1	rest	27	ENSG00000010278	9.119651	3.8880959	7.5366501051294e-20	5.19906944130707e-17
1	rest	28	ENSG00000166165	9.117405	3.1600723	7.69446357733632e-20	5.19906944130707e-17
1	rest	29	ENSG00000150687	9.100757	3.8486977	8.97050003270496e-20	5.85923160469513e-17
1	rest	30	ENSG00000161960	9.057681	1.5498443	1.3325322124378e-19	8.42289312990928e-17
1	rest	31	ENSG00000139644	8.91881	2.5555012	4.71325887450369e-19	2.88613461393437e-16
1	rest	32	ENSG00000164434	8.911807	4.099724	5.02075613110265e-19	2.9704533493193e-16
1	rest	33	ENSG00000134308	8.9089	1.6100817	5.15414207077603e-19	2.9704533493193e-16
1	rest	34	ENSG00000167004	8.902293	2.803895	5.47044970665243e-19	3.06267034291013e-16
1	rest	35	ENSG00000165119	8.89648	1.6000822	5.76461331476498e-19	3.13771105285611e-16
1	rest	36	ENSG00000164111	8.78681	2.8658214	1.53867383078568e-18	8.14873343628255e-16
1	rest	37	ENSG00000118705	8.723783	3.2330964	2.69060142379946e-18	1.38742986577238e-15
1	rest	38	ENSG00000161203	8.71744	1.7707113	2.84562661874007e-18	1.42974496395414e-15
1	rest	39	ENSG00000167552	8.712683	1.6790565	2.9676521930622e-18	1.45377861807634e-15
1	rest	40	ENSG00000115310	8.707002	1.9834172	3.12019025759974e-18	1.49122263652846e-15
1	rest	41	ENSG00000172020	8.656527	3.628325	4.86356421325353e-18	2.26908430377864e-15
1	rest	42	ENSG00000135624	8.632479	2.7425683	6.00364922889356e-18	2.73584899163184e-15
1	rest	43	ENSG00000196776	8.598785	3.2698843	8.05644648600677e-18	3.58786520212052e-15
1	rest	44	ENSG00000089220	8.570509	1.3161552	1.03028959309602e-17	4.47525117123337e-15
1	rest	45	ENSG00000106853	8.568262	3.2476714	1.05058205601804e-17	4.47525117123337e-15
1	rest	46	ENSG00000133169	8.557824	3.2245815	1.15017856932095e-17	4.79526575869022e-15
1	rest	47	ENSG00000166598	8.553596	2.5623353	1.19312311176831e-17	4.79867405248861e-15
1	rest	48	ENSG00000141349	8.552935	3.2815242	1.19997462909896e-17	4.79867405248861e-15
1	rest	49	ENSG00000170345	8.545139	3.907434	1.28381437605218e-17	5.0312685397485e-15
1	rest	50	ENSG00000148180	8.521091	3.6316607	1.58057161124874e-17	6.0657395033883e-15
