cluster	ref	rank	genes	scores	logfoldchanges	pvals	pvals_adj
1	rest	0	ENSG00000075624	11.334878	1.6149422	8.81546267434498e-30	3.38703904125078e-27
1	rest	1	ENSG00000084207	10.42228	1.2468973	1.96192044842927e-25	3.96328156566718e-23
1	rest	3	ENSG00000196262	9.296423	1.0740713	1.45250611460163e-20	1.36835852478937e-18
1	rest	4	ENSG00000288299	8.616571	1.315045	6.89887638094036e-18	4.70513074961485e-16
1	rest	7	ENSG00000285043	8.33195	1.7033428	7.95210923403164e-17	4.59650679766519e-15
1	rest	10	ENSG00000074800	8.202951	1.0817118	2.34555161464525e-16	1.24555782896948e-14
1	rest	12	ENSG00000277359	8.085618	4.6087694	6.18498489765464e-16	3.0527652158575e-14
1	rest	18	ENSG00000255508	7.018633	3.512432	2.24049410194492e-12	6.5137213542449e-11
1	rest	21	ENSG00000240972	6.9332743	3.2047682	4.11209981048334e-12	1.14131155504846e-10
1	rest	30	ENSG00000281287	6.4274344	1.9414648	1.29775726404164e-10	2.85084681489866e-09
1	rest	33	ENSG00000108953	6.236955	1.0014509	4.46169907785392e-10	9.06919018989083e-09
1	rest	36	ENSG00000235067	6.1757493	1.2335355	6.58504044146267e-10	1.29163030480942e-08
1	rest	42	ENSG00000196230	5.811808	1.0003878	6.18017024941848e-09	9.91001931565918e-08
1	rest	82	ENSG00000165092	4.6924005	1.1442899	2.70018198038735e-06	2.43600671757321e-05
1	rest	95	ENSG00000220842	4.4754353	2.2681434	7.62558121977208e-06	6.26250058681618e-05
2	rest	0	ENSG00000145423	13.550563	3.7116685	7.8625410134592e-42	1.54066491158733e-37
2	rest	1	ENSG00000067225	11.202432	1.5878358	3.96694783379834e-29	3.88661714016392e-25
2	rest	2	ENSG00000185885	11.052706	3.3284788	2.12705225699258e-28	1.38931963252565e-24
2	rest	3	ENSG00000104327	10.960286	5.8419724	5.9311394131284e-28	2.90551692000627e-24
2	rest	4	ENSG00000074800	10.339755	1.4244953	4.6572671423081e-25	1.82518299307055e-21
2	rest	5	ENSG00000197406	10.305203	5.151334	6.67506051377266e-25	2.17996351278959e-21
2	rest	6	ENSG00000185559	10.248599	4.8704658	1.20070591378336e-24	3.36111891151213e-21
2	rest	7	ENSG00000117450	10.149016	1.6989354	3.34718696435239e-24	8.19851607081063e-21
2	rest	8	ENSG00000049449	10.132162	2.689564	3.97755545371367e-24	8.66002212394659e-21
2	rest	9	ENSG00000184302	9.742258	3.573009	1.99080190160518e-22	3.40722550328795e-19
2	rest	10	ENSG00000105223	9.741837	2.6184125	1.99907560125507e-22	3.40722550328795e-19
2	rest	11	ENSG00000142538	9.737483	4.3552876	2.0865887236262e-22	3.40722550328795e-19
2	rest	12	ENSG00000102144	9.694784	2.1383777	3.17307130955726e-22	4.7827947931365e-19
2	rest	13	ENSG00000102265	9.652086	2.2404928	4.81658193586866e-22	6.46681480539413e-19
2	rest	14	ENSG00000117592	9.649277	1.5732859	4.95035580918152e-22	6.46681480539413e-19
2	rest	15	ENSG00000166794	9.582701	2.582689	9.45395163797597e-22	1.15781363966337e-18
2	rest	16	ENSG00000080824	9.554329	1.5313941	1.24387180279308e-21	1.43374517504296e-18
2	rest	17	ENSG00000167815	9.524974	1.3395197	1.6508327169542e-21	1.79711483826208e-18
2	rest	18	ENSG00000138385	9.462191	2.904702	3.01558627472221e-21	3.11002173964114e-18
2	rest	19	ENSG00000041357	9.430307	2.6351027	4.08889921021582e-21	4.00609900120895e-18
2	rest	20	ENSG00000074695	9.258249	2.9047182	2.07811226283663e-20	1.93907665668018e-17
2	rest	21	ENSG00000143870	9.235636	2.726529	2.56755776959638e-20	2.28687702251096e-17
2	rest	22	ENSG00000123131	9.026358	2.4611669	1.77480580400649e-19	1.51205737954379e-16
2	rest	23	ENSG00000010278	8.839833	3.947473	9.58616221270497e-19	7.82670202324808e-16
2	rest	24	ENSG00000149925	8.7520485	1.0535877	2.0951405278181e-18	1.6201586145077e-15
2	rest	26	ENSG00000150687	8.744885	3.928332	2.23242064770134e-18	1.6201586145077e-15
2	rest	27	ENSG00000134308	8.671989	1.6366038	4.24636170188321e-18	2.97169491244291e-15
