cluster	ref	rank	genes	scores	logfoldchanges	pvals	pvals_adj
1	rest	0	ENSG00000145423	14.912609	2.4926941	2.72879485758244e-50	2.67353676171639e-46
1	rest	1	ENSG00000138061	14.724911	3.319535	4.46055588703538e-49	2.91348642021528e-45
1	rest	2	ENSG00000153944	14.339139	2.5145848	1.24592387153394e-46	6.10346956567689e-43
1	rest	3	ENSG00000064309	14.130235	2.9048715	2.47318379163451e-45	9.69240727941565e-42
1	rest	4	ENSG00000180660	13.929323	2.7581308	4.20316923939123e-44	1.37268502076452e-40
1	rest	6	ENSG00000184302	12.344465	2.7944884	5.21796976863779e-35	1.27807647020572e-31
1	rest	7	ENSG00000163331	12.29116	2.6949408	1.0104581198968e-34	2.1999918732642e-31
1	rest	8	ENSG00000168209	12.25081	2.0202503	1.66326366010324e-34	3.25916514197231e-31
1	rest	9	ENSG00000144649	12.153093	2.4604952	5.52351181086538e-34	9.83938308490064e-31
1	rest	10	ENSG00000198513	12.125378	2.5884852	7.75022673493046e-34	1.26554744059135e-30
1	rest	11	ENSG00000100650	12.029659	1.8719304	2.48182284478675e-33	3.74087066489203e-30
1	rest	12	ENSG00000164434	11.850471	2.8322146	2.13986759585311e-32	2.79538036938279e-29
1	rest	13	ENSG00000109046	11.465471	2.4513035	1.96686420874546e-30	2.26710024531572e-27
1	rest	14	ENSG00000166426	11.133004	2.033861	8.66646608074383e-29	9.4344112695653e-26
1	rest	15	ENSG00000173212	11.0846615	2.6731312	1.48912379004594e-28	1.53575687715528e-25
1	rest	16	ENSG00000175745	11.010859	1.9916874	3.38758883756239e-28	3.31899016360175e-25
1	rest	17	ENSG00000140279	10.928354	2.3265793	8.43644071490559e-28	7.87200265755119e-25
1	rest	18	ENSG00000100354	10.802149	1.9560157	3.36242281391173e-27	2.86463804515653e-24
1	rest	19	ENSG00000244754	10.64062	1.9441992	1.92841262459021e-26	1.57446855745188e-23
1	rest	20	ENSG00000142538	10.553926	2.694028	4.87178020674516e-26	3.53564937596931e-23
1	rest	21	ENSG00000108848	10.550188	1.9037838	5.06957140049575e-26	3.54779469973979e-23
1	rest	22	ENSG00000178035	10.522407	1.4307985	6.81110287521114e-26	4.60219175309525e-23
1	rest	23	ENSG00000288204	10.510483	2.396245	7.7297096430786e-26	5.04878868187084e-23
1	rest	24	ENSG00000196458	10.480897	2.0496824	1.05736184357815e-25	6.68355010481091e-23
1	rest	25	ENSG00000141933	10.256845	2.0131824	1.10249169598268e-24	6.04109984594139e-22
1	rest	26	ENSG00000123636	10.256202	1.8639323	1.10987289846333e-24	6.04109984594139e-22
1	rest	27	ENSG00000271503	10.168798	1.866613	2.73259449283234e-24	1.37295356633461e-21
1	rest	28	ENSG00000274233	10.168798	1.866613	2.73259449283234e-24	1.37295356633461e-21
1	rest	29	ENSG00000136770	9.984452	1.6030495	1.78282838296885e-23	8.52061516201819e-21
1	rest	30	ENSG00000170893	9.974204	2.1867213	1.97680617778453e-23	9.22274215563996e-21
1	rest	31	ENSG00000116299	9.940364	1.8978138	2.77809981952692e-23	1.26597362706116e-20
1	rest	32	ENSG00000132424	9.928053	2.002904	3.14333583829177e-23	1.39985603980289e-20
1	rest	33	ENSG00000182263	9.916064	1.9070195	3.54459646715667e-23	1.53646628765535e-20
1	rest	34	ENSG00000273656	9.914324	1.9093094	3.60691243848666e-23	1.53646628765535e-20
1	rest	36	ENSG00000087299	9.774388	2.234306	1.45030647575644e-22	5.79974599845866e-20
1	rest	37	ENSG00000241549	9.757178	1.8661313	1.71870348141893e-22	6.73559894368077e-20
1	rest	39	ENSG00000033122	9.729849	1.7935362	2.24926867823975e-22	8.47584995194381e-20
1	rest	40	ENSG00000173214	9.709352	1.9078135	2.75081170507824e-22	1.0170217992643e-19
1	rest	41	ENSG00000181449	9.675254	2.2372208	3.84135977125073e-22	1.39391564291959e-19
1	rest	42	ENSG00000185885	9.644573	1.4051632	5.18265183713509e-22	1.75093211635624e-19
1	rest	45	ENSG00000143801	9.315006	1.7190062	1.21945230578248e-20	3.79288379869964e-18
1	rest	46	ENSG00000168014	9.250034	2.3950696	2.24420989293641e-20	6.76542966955215e-18
1	rest	47	ENSG00000133134	9.198276	1.5878315	3.63740165745528e-20	1.07992250723994e-17
1	rest	48	ENSG00000139219	9.188865	1.9683394	3.97008645136731e-20	1.16110214947078e-17
1	rest	50	ENSG00000115947	9.144519	2.158693	5.98959641243654e-20	1.67665916716706e-17
1	rest	51	ENSG00000197563	9.075293	1.9835093	1.13372721377391e-19	3.08547010470831e-17
1	rest	52	ENSG00000046647	9.058469	1.7521815	1.32294075185881e-19	3.551099182558e-17
1	rest	53	ENSG00000074695	9.050863	1.5562512	1.41842403501678e-19	3.75594850893972e-17
1	rest	54	ENSG00000134376	9.032429	2.2688565	1.67903151452737e-19	4.38674967028852e-17
1	rest	56	ENSG00000253203	8.98834	1.8636197	2.50991528661856e-19	6.22554304320136e-17
1	rest	57	ENSG00000167625	8.931296	2.0055215	4.21045459183031e-19	1.03129822158644e-16
1	rest	59	ENSG00000168461	8.864778	1.9339504	7.66572129707849e-19	1.80975673272594e-16
1	rest	60	ENSG00000282417	8.841573	1.751096	9.43804612801183e-19	2.17574722209873e-16
1	rest	61	ENSG00000186329	8.830293	1.591259	1.04401947262537e-18	2.37878622861561e-16
1	rest	62	ENSG00000100836	8.789169	1.75063	1.50669432696507e-18	3.35496310646369e-16
1	rest	63	ENSG00000285437	8.756039	2.0968323	2.02231864716269e-18	4.45250942597223e-16
1	rest	64	ENSG00000105220	8.732061	1.5711763	2.50073059933035e-18	5.38481495537123e-16
1	rest	65	ENSG00000172915	8.61114	1.5804847	7.23372257614432e-18	1.52413756859729e-15
1	rest	66	ENSG00000135245	8.578332	1.6447117	9.62586353210269e-18	2.00658293522928e-15
1	rest	67	ENSG00000196220	8.569953	1.6858177	1.03527451552045e-17	2.13538990859192e-15
1	rest	68	ENSG00000170381	8.531537	1.5942287	1.44416389139289e-17	2.94774910956705e-15
1	rest	69	ENSG00000131203	8.526316	1.5375936	1.51082563446559e-17	3.05202353684054e-15
1	rest	71	ENSG00000152578	8.517421	1.8919952	1.63145980548062e-17	3.2291368574134e-15
1	rest	72	ENSG00000103942	8.512844	1.6081717	1.69717914462792e-17	3.29269557811723e-15
1	rest	73	ENSG00000109472	8.486353	1.6526804	2.13223752720865e-17	4.05642663550035e-15
1	rest	74	ENSG00000167680	8.48068	2.237687	2.23880700345665e-17	4.21821377237818e-15
1	rest	75	ENSG00000197406	8.477006	2.1464157	2.31062174251783e-17	4.29747942285171e-15
1	rest	76	ENSG00000106443	8.476297	1.5049589	2.32474008074652e-17	4.29747942285171e-15
1	rest	77	ENSG00000254536	8.455671	1.5887648	2.77486247760342e-17	5.08162899519991e-15
1	rest	78	ENSG00000117139	8.413839	1.6751883	3.96805298937556e-17	7.19944428951982e-15
1	rest	79	ENSG00000163864	8.389216	2.0566008	4.89392394455105e-17	8.7226387432559e-15
1	rest	80	ENSG00000162407	8.389153	1.8870031	4.89660761295304e-17	8.7226387432559e-15
1	rest	81	ENSG00000114126	8.38045	1.4911722	5.27255103483808e-17	9.30771509258129e-15
