cluster	ref	rank	genes	scores	logfoldchanges	pvals	pvals_adj
1	rest	27	ENSG00000064309	10.523733	2.4106438	6.71585239112362e-26	3.65547576677965e-23
1	rest	32	ENSG00000175745	10.072833	1.8791345	7.28488911543192e-24	3.17216449370863e-21
1	rest	35	ENSG00000153944	9.992763	1.8680296	1.63947335597332e-23	6.55622049189739e-21
1	rest	40	ENSG00000173212	9.592735	1.9797983	8.57802096240412e-22	2.9488828203212e-19
1	rest	41	ENSG00000140279	9.561678	1.7638955	1.15863004846476e-21	3.91437168959777e-19
1	rest	45	ENSG00000144649	9.460579	1.7909402	3.06242837886733e-21	9.23204370521621e-19
1	rest	47	ENSG00000138061	9.24811	2.623952	2.28497524532342e-20	6.21862360168227e-18
1	rest	51	ENSG00000109046	9.115872	1.8525932	7.80398721262498e-20	2.01209380830772e-17
1	rest	52	ENSG00000152518	9.069044	1.733903	1.20066137927365e-19	3.05544931517756e-17
1	rest	53	ENSG00000198513	9.056507	1.8510396	1.34694249521772e-19	3.38376130689632e-17
1	rest	54	ENSG00000100129	9.0365305	1.0970665	1.61723496028484e-19	4.00540289213695e-17
1	rest	56	ENSG00000100650	9.005958	1.3167338	2.13790862217105e-19	5.10881944529776e-17
1	rest	57	ENSG00000182263	8.96746	1.8632725	3.03431565154718e-19	7.16354399904422e-17
1	rest	58	ENSG00000139219	8.862884	2.0338528	7.79713184886847e-19	1.7765674253323e-16
1	rest	65	ENSG00000180660	8.560153	1.7781122	1.12717838125484e-17	2.16539807653809e-15
1	rest	66	ENSG00000087299	8.49173	1.6227691	2.03584672245225e-17	3.79927776442399e-15
1	rest	67	ENSG00000108848	8.458003	1.413009	2.71995560959906e-17	4.98107758599006e-15
1	rest	68	ENSG00000244754	8.414004	1.2684637	3.96245059450645e-17	7.12332288067467e-15
1	rest	69	ENSG00000196458	8.396212	1.5329688	4.61115722106297e-17	8.21414779515718e-15
1	rest	70	ENSG00000167680	8.388609	1.6255846	4.91929404570663e-17	8.68410511942536e-15
1	rest	71	ENSG00000100354	8.31978	1.491747	8.8126292576083e-17	1.52817230356491e-14
1	rest	76	ENSG00000163331	8.179617	2.0797505	2.84746818296773e-16	4.72848635976718e-14
1	rest	77	ENSG00000168014	8.175978	1.7474668	2.93476220663145e-16	4.83249289402885e-14
1	rest	81	ENSG00000168209	8.044145	1.4763927	8.68496778069136e-16	1.35065034652895e-13
1	rest	82	ENSG00000241549	8.00225	1.6090411	1.22166408376975e-15	1.87019591573971e-13
1	rest	92	ENSG00000167625	7.6552787	1.5650063	1.92893468569478e-14	2.47042321347642e-12
1	rest	94	ENSG00000173598	7.4620585	1.2892896	8.51808881976249e-14	9.93523514424084e-12
1	rest	95	ENSG00000120071	7.413046	1.3305511	1.23430984188544e-13	1.41219835444259e-11
1	rest	96	ENSG00000236418	7.3353214	1.4629385	2.2119011770369e-13	2.47669734651647e-11
1	rest	97	ENSG00000163864	7.3143735	1.5955225	2.58584621817502e-13	2.86269246582709e-11
1	rest	98	ENSG00000115947	7.2838016	1.5711023	3.24542634225027e-13	3.55274464672593e-11
2	rest	0	ENSG00000164104	21.241257	5.5627656	3.971154444434e-100	7.78147713386843e-96
2	rest	1	ENSG00000117724	19.758596	6.570207	6.76607361622728e-87	6.62906062549867e-83
2	rest	2	ENSG00000113810	19.59265	5.691194	1.78645392005638e-85	1.16685215211683e-81
2	rest	3	ENSG00000131747	19.190004	6.703753	4.48600843284763e-82	2.19758338104123e-78
2	rest	4	ENSG00000148773	19.082764	7.392705	3.51190615008125e-81	1.37631602021684e-77
2	rest	5	ENSG00000173207	18.971678	4.1699634	2.92427245836921e-80	9.55018647029078e-77
2	rest	6	ENSG00000164032	18.911177	1.74422	9.22729966730528e-80	2.5829848140121e-76
2	rest	7	ENSG00000198830	18.72404	2.2091255	3.15305784805507e-78	7.68078425987811e-75
2	rest	8	ENSG00000066279	18.718058	6.674281	3.52779067817826e-78	7.68078425987811e-75
2	rest	9	ENSG00000089685	18.08777	4.3706503	3.97855986086336e-73	7.79598804736176e-70
2	rest	10	ENSG00000075218	17.658295	6.39499	8.78552295797038e-70	1.56502111237663e-66
2	rest	11	ENSG00000175063	17.354515	5.985532	1.82332551991965e-67	2.97733863023547e-64
2	rest	12	ENSG00000123975	17.329905	3.7100346	2.79788023180042e-67	4.2172663955484e-64
2	rest	13	ENSG00000129534	17.270517	4.7921324	7.84366252134124e-67	1.09783262218344e-63
2	rest	14	ENSG00000188486	17.022623	4.818775	5.58129635356815e-65	7.29103346987786e-62
2	rest	15	ENSG00000166803	16.916409	4.523714	3.40580465396657e-64	4.17104638715468e-61
2	rest	16	ENSG00000197061	16.909315	4.1145153	3.84145476700682e-64	4.42784153879404e-61
2	rest	17	ENSG00000129195	16.851294	5.951259	1.02643994060716e-63	1.11739392423318e-60
2	rest	18	ENSG00000124795	16.817028	3.0895827	1.83117015803498e-63	1.8885146971945e-60
2	rest	19	ENSG00000189403	16.794554	1.422618	2.6750560354383e-63	2.62088615072068e-60
2	rest	20	ENSG00000069275	16.24929	2.2566614	2.25961890171788e-59	2.10843963710295e-56
2	rest	21	ENSG00000088325	16.168112	5.559034	8.4652162118359e-59	7.5398141668602e-56
